Allele,D8S1179,D21S11,D7S820,CSF1PO,D3S1358,TH01,D13S317,D16S539,D2S1338,D19S433,VWA,TPOX,D18S51,D5S818,FGA
6,,,,,,0.298,,,,,,0.004,,,
7,,,0.026,,,0.129,,,,,,,,,
8,0.011,,0.254,,,0.176,0.191,0.015,,,,0.456,,,
9,0.022,,0.081,0.022,,0.202,0.107,0.129,,,,0.081,,0.018,
9.3,,,,,,0.184,,,,,,,,,
10,0.055,,0.232,0.173,,0.011,0.077,0.074,,,,0.074,0.007,0.085,
11,0.055,,0.243,0.379,,,0.305,0.301,,,0.015,0.349,0.007,0.309,
12,0.103,,0.14,0.327,,,0.239,0.283,,0.096,,0.037,0.037,0.375,
13,0.335,,0.026,0.085,,,0.07,0.18,,0.235,,,0.154,0.199,
13.2,,,,,,,,,,0.022,,,,,
14,0.191,,,0.015,0.074,,0.011,0.018,,0.327,0.114,,0.246,0.015,
14.2,,,,,,,,,,0.077,,,,,
15,0.195,,,,0.21,,,,0.004,0.081,0.103,,0.162,,
15.2,,,,,,,,,,0.033,,,,,
16,0.033,,,,0.29,,,,0.081,0.096,0.195,,0.173,,
16.2,,,,,,,,,,0.029,,,,,
17,,,,,0.224,,,,0.272,,0.287,,0.044,,
17.2,,,,,,,,,,0.004,,,,,
18,,,,,0.202,,,,0.081,,0.184,,0.066,,0.011
19,,,,,,,,,0.077,,0.07,,0.04,,0.048
20,,,,,,,,,0.121,,0.033,,0.018,,0.14
20.2,,,,,,,,,,,,,,,0.007
21,,,,,,,,,,,,,0.029,,0.143
21.2,,,,,,,,,,,,,,,0.007
22,,,,,,,,,0.022,,,,0.011,,0.191
22.2,,,,,,,,,,,,,,,0.004
23,,,,,,,,,0.176,,,,,,0.184
23.2,,,,,,,,,,,,,,,0.007
24,,,,,,,,,0.114,,,,0.004,,0.121
25,,,,,,,,,0.048,,,,,,0.077
26,,0.004,,,,,,,0.004,,,,,,0.044
27,,0.029,,,,,,,,,,,,,0.004
28,,0.132,,,,,,,,,,,,,0.011
29,,0.316,,,,,,,,,,,,,
29.2,,0.026,,,,,,,,,,,,,
30,,0.176,,,,,,,,,,,,,
30.2,,0.033,,,,,,,,,,,,,
31,,0.048,,,,,,,,,,,,,
31.2,,0.125,,,,,,,,,,,,,
32,,0.004,,,,,,,,,,,,,
32.2,,0.063,,,,,,,,,,,,,
33,,0.004,,,,,,,,,,,,,
33.2,,0.033,,,,,,,,,,,,,
34.2,,0.004,,,,,,,,,,,,,
35.2,,0.004,,,,,,,,,,,,,
